Date,Open,High,Low,Close,Adj Close
24-Dec-13,6296.45,6344.05,6259.45,6291.1,6291.1
31-Dec-13,6307.35,6358.3,6170.25,6191.45,6191.45
7-Jan-14,6203.9,6288.2,6139.6,6272.75,6272.75
14-Jan-14,6260.25,6346.5,6234.15,6303.95,6303.95
21-Jan-14,6320.15,6355.6,6130.25,6135.85,6135.85
28-Jan-14,6131.85,6170.45,5994.45,6001.8,6001.8
4-Feb-14,5947.6,6083.05,5933.3,6053.45,6053.45
11-Feb-14,6072.45,6106.6,5984.6,6048.35,6048.35
18-Feb-14,6071.3,6191.85,6066.8,6186.1,6186.1
25-Feb-14,6205.7,6282.7,6176.6,6221.45,6221.45
4-Mar-14,6216.75,6562.2,6215.7,6537.25,6537.25
11-Mar-14,6537.35,6562.85,6432.7,6504.2,6504.2
18-Mar-14,6532.45,6591.5,6473.25,6583.5,6583.5
25-Mar-14,6550.1,6730.05,6544.85,6704.2,6704.2
1-Apr-14,6729.5,6776.75,6650.4,6695.05,6695.05
8-Apr-14,6722,6819.05,6705.1,6776.3,6776.3
15-Apr-14,6792.7,6825.45,6665.15,6817.65,6817.65
22-Apr-14,6822.9,6869.85,6750.3,6761.25,6761.25
29-Apr-14,6769,6780.15,6656.8,6699.35,6699.35
6-May-14,6719.25,7020.05,6638.55,7014.25,7014.25
13-May-14,7080,7563.5,7067.15,7263.55,7263.55
20-May-14,7309.95,7504,7206.7,7359.05,7359.05
27-May-14,7363.1,7372.95,7118.45,7362.5,7362.5
3-Jun-14,7375.35,7673.7,7342.15,7654.6,7654.6
10-Jun-14,7679.05,7700.05,7487.55,7533.55,7533.55
17-Jun-14,7525.05,7663,7441.6,7493.35,7493.35
24-Jun-14,7515.2,7623.65,7481.3,7611.35,7611.35
1-Jul-14,7629,7792,7618.15,7787.15,7787.15
8-Jul-14,7804.05,7808.85,7422.15,7454.15,7454.15
15-Jul-14,7491.3,7722.1,7459.15,7684.2,7684.2
22-Jul-14,7708.2,7840.95,7704.8,7748.7,7748.7
29-Jul-14,7746.2,7798.7,7593.9,7683.65,7683.65
5-Aug-14,7706.65,7752.45,7540.1,7625.95,7625.95
